timestamp,unlockNative,unlock%CS,CS,TS,days since TGE,total%unlocked
2017-12-10,,,10600000,16000000,0,0.6625
2017-12-11,0.0,0.0,10600000,16000000,1,0.6625
2017-12-12,0.0,0.0,10600000,16000000,2,0.6625
2017-12-13,0.0,0.0,10600000,16000000,3,0.6625
2017-12-14,0.0,0.0,10600000,16000000,4,0.6625
2017-12-15,0.0,0.0,10600000,16000000,5,0.6625
2017-12-16,0.0,0.0,10600000,16000000,6,0.6625
2017-12-17,0.0,0.0,10600000,16000000,7,0.6625
2017-12-18,0.0,0.0,10600000,16000000,8,0.6625
2017-12-19,0.0,0.0,10600000,16000000,9,0.6625
2017-12-20,0.0,0.0,10600000,16000000,10,0.6625
2017-12-21,0.0,0.0,10600000,16000000,11,0.6625
2017-12-22,0.0,0.0,10600000,16000000,12,0.6625
2017-12-23,0.0,0.0,10600000,16000000,13,0.6625
2017-12-24,0.0,0.0,10600000,16000000,14,0.6625
2017-12-25,0.0,0.0,10600000,16000000,15,0.6625
2017-12-26,0.0,0.0,10600000,16000000,16,0.6625
2017-12-27,0.0,0.0,10600000,16000000,17,0.6625
2017-12-28,0.0,0.0,10600000,16000000,18,0.6625
2017-12-29,0.0,0.0,10600000,16000000,19,0.6625
2017-12-30,0.0,0.0,10600000,16000000,20,0.6625
2017-12-31,0.0,0.0,10600000,16000000,21,0.6625
2018-01-01,0.0,0.0,10600000,16000000,22,0.6625
2018-01-02,0.0,0.0,10600000,16000000,23,0.6625
2018-01-03,0.0,0.0,10600000,16000000,24,0.6625
2018-01-04,0.0,0.0,10600000,16000000,25,0.6625
2018-01-05,0.0,0.0,10600000,16000000,26,0.6625
2018-01-06,0.0,0.0,10600000,16000000,27,0.6625
2018-01-07,0.0,0.0,10600000,16000000,28,0.6625
2018-01-08,0.0,0.0,10600000,16000000,29,0.6625
2018-01-09,0.0,0.0,10600000,16000000,30,0.6625
2018-01-10,0.0,0.0,10600000,16000000,31,0.6625
2018-01-11,0.0,0.0,10600000,16000000,32,0.6625
2018-01-12,0.0,0.0,10600000,16000000,33,0.6625
2018-01-13,0.0,0.0,10600000,16000000,34,0.6625
2018-01-14,0.0,0.0,10600000,16000000,35,0.6625
2018-01-15,0.0,0.0,10600000,16000000,36,0.6625
2018-01-16,0.0,0.0,10600000,16000000,37,0.6625
2018-01-17,0.0,0.0,10600000,16000000,38,0.6625
2018-01-18,0.0,0.0,10600000,16000000,39,0.6625
2018-01-19,0.0,0.0,10600000,16000000,40,0.6625
2018-01-20,0.0,0.0,10600000,16000000,41,0.6625
2018-01-21,0.0,0.0,10600000,16000000,42,0.6625
2018-01-22,0.0,0.0,10600000,16000000,43,0.6625
2018-01-23,0.0,0.0,10600000,16000000,44,0.6625
2018-01-24,0.0,0.0,10600000,16000000,45,0.6625
2018-01-25,0.0,0.0,10600000,16000000,46,0.6625
2018-01-26,0.0,0.0,10600000,16000000,47,0.6625
2018-01-27,0.0,0.0,10600000,16000000,48,0.6625
2018-01-28,0.0,0.0,10600000,16000000,49,0.6625
2018-01-29,0.0,0.0,10600000,16000000,50,0.6625
2018-01-30,0.0,0.0,10600000,16000000,51,0.6625
2018-01-31,0.0,0.0,10600000,16000000,52,0.6625
2018-02-01,0.0,0.0,10600000,16000000,53,0.6625
2018-02-02,0.0,0.0,10600000,16000000,54,0.6625
2018-02-03,0.0,0.0,10600000,16000000,55,0.6625
2018-02-04,0.0,0.0,10600000,16000000,56,0.6625
2018-02-05,0.0,0.0,10600000,16000000,57,0.6625
2018-02-06,0.0,0.0,10600000,16000000,58,0.6625
2018-02-07,0.0,0.0,10600000,16000000,59,0.6625
2018-02-08,0.0,0.0,10600000,16000000,60,0.6625
2018-02-09,0.0,0.0,10600000,16000000,61,0.6625
2018-02-10,0.0,0.0,10600000,16000000,62,0.6625
2018-02-11,0.0,0.0,10600000,16000000,63,0.6625
2018-02-12,0.0,0.0,10600000,16000000,64,0.6625
2018-02-13,0.0,0.0,10600000,16000000,65,0.6625
2018-02-14,0.0,0.0,10600000,16000000,66,0.6625
2018-02-15,0.0,0.0,10600000,16000000,67,0.6625
2018-02-16,0.0,0.0,10600000,16000000,68,0.6625
2018-02-17,0.0,0.0,10600000,16000000,69,0.6625
2018-02-18,0.0,0.0,10600000,16000000,70,0.6625
2018-02-19,0.0,0.0,10600000,16000000,71,0.6625
2018-02-20,0.0,0.0,10600000,16000000,72,0.6625
2018-02-21,0.0,0.0,10600000,16000000,73,0.6625
2018-02-22,0.0,0.0,10600000,16000000,74,0.6625
2018-02-23,0.0,0.0,10600000,16000000,75,0.6625
2018-02-24,0.0,0.0,10600000,16000000,76,0.6625
2018-02-25,0.0,0.0,10600000,16000000,77,0.6625
2018-02-26,0.0,0.0,10600000,16000000,78,0.6625
2018-02-27,0.0,0.0,10600000,16000000,79,0.6625
2018-02-28,0.0,0.0,10600000,16000000,80,0.6625
2018-03-01,0.0,0.0,10600000,16000000,81,0.6625
2018-03-02,0.0,0.0,10600000,16000000,82,0.6625
2018-03-03,0.0,0.0,10600000,16000000,83,0.6625
2018-03-04,0.0,0.0,10600000,16000000,84,0.6625
2018-03-05,0.0,0.0,10600000,16000000,85,0.6625
2018-03-06,0.0,0.0,10600000,16000000,86,0.6625
2018-03-07,0.0,0.0,10600000,16000000,87,0.6625
2018-03-08,0.0,0.0,10600000,16000000,88,0.6625
2018-03-09,0.0,0.0,10600000,16000000,89,0.6625
2018-03-10,0.0,0.0,10600000,16000000,90,0.6625
2018-03-11,0.0,0.0,10600000,16000000,91,0.6625
2018-03-12,0.0,0.0,10600000,16000000,92,0.6625
2018-03-13,0.0,0.0,10600000,16000000,93,0.6625
2018-03-14,0.0,0.0,10600000,16000000,94,0.6625
2018-03-15,0.0,0.0,10600000,16000000,95,0.6625
2018-03-16,0.0,0.0,10600000,16000000,96,0.6625
2018-03-17,0.0,0.0,10600000,16000000,97,0.6625
2018-03-18,0.0,0.0,10600000,16000000,98,0.6625
2018-03-19,0.0,0.0,10600000,16000000,99,0.6625
2018-03-20,0.0,0.0,10600000,16000000,100,0.6625
2018-03-21,0.0,0.0,10600000,16000000,101,0.6625
2018-03-22,0.0,0.0,10600000,16000000,102,0.6625
2018-03-23,0.0,0.0,10600000,16000000,103,0.6625
2018-03-24,0.0,0.0,10600000,16000000,104,0.6625
2018-03-25,0.0,0.0,10600000,16000000,105,0.6625
2018-03-26,0.0,0.0,10600000,16000000,106,0.6625
2018-03-27,0.0,0.0,10600000,16000000,107,0.6625
2018-03-28,0.0,0.0,10600000,16000000,108,0.6625
2018-03-29,0.0,0.0,10600000,16000000,109,0.6625
2018-03-30,0.0,0.0,10600000,16000000,110,0.6625
2018-03-31,0.0,0.0,10600000,16000000,111,0.6625
2018-04-01,0.0,0.0,10600000,16000000,112,0.6625
2018-04-02,0.0,0.0,10600000,16000000,113,0.6625
2018-04-03,0.0,0.0,10600000,16000000,114,0.6625
2018-04-04,0.0,0.0,10600000,16000000,115,0.6625
2018-04-05,0.0,0.0,10600000,16000000,116,0.6625
2018-04-06,0.0,0.0,10600000,16000000,117,0.6625
2018-04-07,0.0,0.0,10600000,16000000,118,0.6625
2018-04-08,0.0,0.0,10600000,16000000,119,0.6625
2018-04-09,0.0,0.0,10600000,16000000,120,0.6625
2018-04-10,0.0,0.0,10600000,16000000,121,0.6625
2018-04-11,0.0,0.0,10600000,16000000,122,0.6625
2018-04-12,0.0,0.0,10600000,16000000,123,0.6625
2018-04-13,0.0,0.0,10600000,16000000,124,0.6625
2018-04-14,0.0,0.0,10600000,16000000,125,0.6625
2018-04-15,0.0,0.0,10600000,16000000,126,0.6625
2018-04-16,0.0,0.0,10600000,16000000,127,0.6625
2018-04-17,0.0,0.0,10600000,16000000,128,0.6625
2018-04-18,0.0,0.0,10600000,16000000,129,0.6625
2018-04-19,0.0,0.0,10600000,16000000,130,0.6625
2018-04-20,0.0,0.0,10600000,16000000,131,0.6625
2018-04-21,0.0,0.0,10600000,16000000,132,0.6625
2018-04-22,0.0,0.0,10600000,16000000,133,0.6625
2018-04-23,0.0,0.0,10600000,16000000,134,0.6625
2018-04-24,0.0,0.0,10600000,16000000,135,0.6625
