timestamp,unlockNative,unlock%CS,CS,TS,days since TGE,total%unlocked
2017-07-28,,,136000000,200000000,0,0.68
2017-07-29,0.0,0.0,136000000,200000000,1,0.68
2017-07-30,0.0,0.0,136000000,200000000,2,0.68
2017-07-31,0.0,0.0,136000000,200000000,3,0.68
2017-08-01,0.0,0.0,136000000,200000000,4,0.68
2017-08-02,0.0,0.0,136000000,200000000,5,0.68
2017-08-03,0.0,0.0,136000000,200000000,6,0.68
2017-08-04,0.0,0.0,136000000,200000000,7,0.68
2017-08-05,0.0,0.0,136000000,200000000,8,0.68
2017-08-06,0.0,0.0,136000000,200000000,9,0.68
2017-08-07,0.0,0.0,136000000,200000000,10,0.68
2017-08-08,0.0,0.0,136000000,200000000,11,0.68
2017-08-09,0.0,0.0,136000000,200000000,12,0.68
2017-08-10,0.0,0.0,136000000,200000000,13,0.68
2017-08-11,0.0,0.0,136000000,200000000,14,0.68
2017-08-12,0.0,0.0,136000000,200000000,15,0.68
2017-08-13,0.0,0.0,136000000,200000000,16,0.68
2017-08-14,0.0,0.0,136000000,200000000,17,0.68
2017-08-15,0.0,0.0,136000000,200000000,18,0.68
2017-08-16,0.0,0.0,136000000,200000000,19,0.68
2017-08-17,0.0,0.0,136000000,200000000,20,0.68
2017-08-18,0.0,0.0,136000000,200000000,21,0.68
2017-08-19,0.0,0.0,136000000,200000000,22,0.68
2017-08-20,0.0,0.0,136000000,200000000,23,0.68
2017-08-21,0.0,0.0,136000000,200000000,24,0.68
2017-08-22,0.0,0.0,136000000,200000000,25,0.68
2017-08-23,0.0,0.0,136000000,200000000,26,0.68
2017-08-24,0.0,0.0,136000000,200000000,27,0.68
2017-08-25,0.0,0.0,136000000,200000000,28,0.68
2017-08-26,0.0,0.0,136000000,200000000,29,0.68
2017-08-27,0.0,0.0,136000000,200000000,30,0.68
2017-08-28,0.0,0.0,136000000,200000000,31,0.68
2017-08-29,0.0,0.0,136000000,200000000,32,0.68
2017-08-30,0.0,0.0,136000000,200000000,33,0.68
2017-08-31,0.0,0.0,136000000,200000000,34,0.68
2017-09-01,0.0,0.0,136000000,200000000,35,0.68
2017-09-02,0.0,0.0,136000000,200000000,36,0.68
2017-09-03,0.0,0.0,136000000,200000000,37,0.68
2017-09-04,0.0,0.0,136000000,200000000,38,0.68
2017-09-05,0.0,0.0,136000000,200000000,39,0.68
2017-09-06,0.0,0.0,136000000,200000000,40,0.68
2017-09-07,0.0,0.0,136000000,200000000,41,0.68
2017-09-08,0.0,0.0,136000000,200000000,42,0.68
2017-09-09,0.0,0.0,136000000,200000000,43,0.68
2017-09-10,0.0,0.0,136000000,200000000,44,0.68
2017-09-11,0.0,0.0,136000000,200000000,45,0.68
2017-09-12,0.0,0.0,136000000,200000000,46,0.68
2017-09-13,0.0,0.0,136000000,200000000,47,0.68
2017-09-14,0.0,0.0,136000000,200000000,48,0.68
2017-09-15,0.0,0.0,136000000,200000000,49,0.68
2017-09-16,0.0,0.0,136000000,200000000,50,0.68
2017-09-17,0.0,0.0,136000000,200000000,51,0.68
2017-09-18,0.0,0.0,136000000,200000000,52,0.68
2017-09-19,0.0,0.0,136000000,200000000,53,0.68
2017-09-20,0.0,0.0,136000000,200000000,54,0.68
2017-09-21,0.0,0.0,136000000,200000000,55,0.68
2017-09-22,0.0,0.0,136000000,200000000,56,0.68
2017-09-23,0.0,0.0,136000000,200000000,57,0.68
2017-09-24,0.0,0.0,136000000,200000000,58,0.68
2017-09-25,0.0,0.0,136000000,200000000,59,0.68
2017-09-26,0.0,0.0,136000000,200000000,60,0.68
2017-09-27,0.0,0.0,136000000,200000000,61,0.68
2017-09-28,0.0,0.0,136000000,200000000,62,0.68
2017-09-29,0.0,0.0,136000000,200000000,63,0.68
2017-09-30,0.0,0.0,136000000,200000000,64,0.68
2017-10-01,0.0,0.0,136000000,200000000,65,0.68
2017-10-02,0.0,0.0,136000000,200000000,66,0.68
2017-10-03,0.0,0.0,136000000,200000000,67,0.68
2017-10-04,0.0,0.0,136000000,200000000,68,0.68
2017-10-05,0.0,0.0,136000000,200000000,69,0.68
2017-10-06,0.0,0.0,136000000,200000000,70,0.68
2017-10-07,0.0,0.0,136000000,200000000,71,0.68
2017-10-08,0.0,0.0,136000000,200000000,72,0.68
2017-10-09,0.0,0.0,136000000,200000000,73,0.68
2017-10-10,0.0,0.0,136000000,200000000,74,0.68
2017-10-11,0.0,0.0,136000000,200000000,75,0.68
2017-10-12,0.0,0.0,136000000,200000000,76,0.68
2017-10-13,0.0,0.0,136000000,200000000,77,0.68
2017-10-14,0.0,0.0,136000000,200000000,78,0.68
2017-10-15,0.0,0.0,136000000,200000000,79,0.68
2017-10-16,0.0,0.0,136000000,200000000,80,0.68
2017-10-17,0.0,0.0,136000000,200000000,81,0.68
2017-10-18,0.0,0.0,136000000,200000000,82,0.68
2017-10-19,0.0,0.0,136000000,200000000,83,0.68
2017-10-20,0.0,0.0,136000000,200000000,84,0.68
2017-10-21,0.0,0.0,136000000,200000000,85,0.68
2017-10-22,0.0,0.0,136000000,200000000,86,0.68
2017-10-23,0.0,0.0,136000000,200000000,87,0.68
2017-10-24,0.0,0.0,136000000,200000000,88,0.68
2017-10-25,0.0,0.0,136000000,200000000,89,0.68
2017-10-26,0.0,0.0,136000000,200000000,90,0.68
2017-10-27,0.0,0.0,136000000,200000000,91,0.68
2017-10-28,0.0,0.0,136000000,200000000,92,0.68
2017-10-29,0.0,0.0,136000000,200000000,93,0.68
2017-10-30,0.0,0.0,136000000,200000000,94,0.68
2017-10-31,0.0,0.0,136000000,200000000,95,0.68
2017-11-01,0.0,0.0,136000000,200000000,96,0.68
2017-11-02,0.0,0.0,136000000,200000000,97,0.68
2017-11-03,0.0,0.0,136000000,200000000,98,0.68
2017-11-04,0.0,0.0,136000000,200000000,99,0.68
2017-11-05,0.0,0.0,136000000,200000000,100,0.68
2017-11-06,0.0,0.0,136000000,200000000,101,0.68
2017-11-07,0.0,0.0,136000000,200000000,102,0.68
2017-11-08,0.0,0.0,136000000,200000000,103,0.68
2017-11-09,0.0,0.0,136000000,200000000,104,0.68
2017-11-10,0.0,0.0,136000000,200000000,105,0.68
2017-11-11,0.0,0.0,136000000,200000000,106,0.68
2017-11-12,0.0,0.0,136000000,200000000,107,0.68
2017-11-13,0.0,0.0,136000000,200000000,108,0.68
2017-11-14,0.0,0.0,136000000,200000000,109,0.68
2017-11-15,0.0,0.0,136000000,200000000,110,0.68
2017-11-16,0.0,0.0,136000000,200000000,111,0.68
2017-11-17,0.0,0.0,136000000,200000000,112,0.68
2017-11-18,0.0,0.0,136000000,200000000,113,0.68
2017-11-19,0.0,0.0,136000000,200000000,114,0.68
2017-11-20,0.0,0.0,136000000,200000000,115,0.68
2017-11-21,0.0,0.0,136000000,200000000,116,0.68
2017-11-22,0.0,0.0,136000000,200000000,117,0.68
2017-11-23,0.0,0.0,136000000,200000000,118,0.68
2017-11-24,0.0,0.0,136000000,200000000,119,0.68
2017-11-25,0.0,0.0,136000000,200000000,120,0.68
