timestamp,unlockNative,unlock%CS,CS,TS,days since TGE,total%unlocked
2021-07-22,,,13000342.0,13250000.0,0,0.9811578867924529
2021-07-23,341.9900000002235,2.630553902112219e-05,13000683.99,13250000.0,1,0.9811836973584905
2021-07-24,342.0,2.6305616207755923e-05,13001025.99,13250000.0,2,0.9812095086792453
2021-07-25,342.0,2.630492424051448e-05,13001367.99,13250000.0,3,0.98123532
2021-07-26,342.0,2.6304232309676366e-05,13001709.99,13250000.0,4,0.9812611313207548
2021-07-27,341.9900000002235,2.630277132611675e-05,13002051.98,13250000.0,5,0.9812869418867924
2021-07-28,342.0,2.6302848577427893e-05,13002393.98,13250000.0,6,0.9813127532075472
2021-07-29,342.0,2.6302156755781485e-05,13002735.98,13250000.0,7,0.9813385645283019
2021-07-30,342.0,2.6301464970526923e-05,13003077.98,13250000.0,8,0.9813643758490567
2021-07-31,341.9899999983609,2.6300004213303963e-05,13003419.969999999,13249999.999999998,9,0.9813901864150943
2021-08-01,342.0,2.6300081529406834e-05,13003761.969999999,13249999.999999998,10,0.9814159977358491
2021-08-02,342.0,2.629938985330952e-05,13004103.969999999,13249999.999999998,11,0.9814418090566038
2021-08-03,341.99000000208616,2.6297929266191217e-05,13004445.96,13250000.0,12,0.9814676196226416
2021-08-04,342.0,2.6298006630474887e-05,13004787.96,13250000.0,13,0.9814934309433963
2021-08-05,342.0,2.6297315063508983e-05,13005129.96,13250000.0,14,0.981519242264151
2021-08-06,342.0,2.6296623532914832e-05,13005471.96,13250000.0,15,0.9815450535849057
2021-08-07,341.9899999983609,2.6295163171879825e-05,13005813.95,13250000.0,16,0.9815708641509433
2021-08-08,342.0,2.6295240601047845e-05,13006155.95,13250000.0,17,0.981596675471698
2021-08-09,342.0,2.6294549179550674e-05,13006497.95,13250000.0,18,0.9816224867924528
2021-08-10,342.0,2.6293857794413778e-05,13006839.95,13250000.0,19,0.9816482981132075
2021-08-11,341.9900000002235,2.6292397659828807e-05,13007181.94,13250000.0,20,0.9816741086792452
2021-08-12,342.0,2.6292475153422628e-05,13007523.94,13250000.0,21,0.98169992
2021-08-13,342.0,2.6291783877348295e-05,13007865.94,13250000.0,22,0.9817257313207547
2021-08-14,341.9900000002235,2.6290323912451752e-05,13008207.93,13250000.0,23,0.9817515418867925
2021-08-15,342.0,2.6290401454453272e-05,13008549.93,13250000.0,24,0.9817773532075471
2021-08-16,342.0,2.6289710287415695e-05,13008891.93,13250000.0,25,0.9818031645283019
