timestamp,unlockNative,unlock%CS,CS,TS,days since TGE,total%unlocked
2023-12-07,,,582884465.4,1000000000.0,0,0.5828844653999999
2023-12-08,27322.40999996662,4.687228937780953e-05,582911787.81,1000000000.0,1,0.58291178781
2023-12-09,27322.400000095367,4.687007531584671e-05,582939110.21,1000000000.0,2,0.58293911021
2023-12-10,27322.40999996662,4.6867895767467665e-05,582966432.62,1000000000.0,3,0.58296643262
2023-12-11,27322.399999976158,4.686568211873701e-05,582993755.02,1000000000.0,4,0.58299375502
2023-12-12,27322.41000008583,4.6863502980930006e-05,583021077.4300001,1000000000.0,5,0.5830210774300001
2023-12-13,27322.399999976158,4.686128974531544e-05,583048399.83,1000000000.0,6,0.58304839983
2023-12-14,27322.399999976158,4.6859093867740505e-05,583075722.23,1000000000.0,7,0.58307572223
2023-12-15,27322.40999996662,4.685691534475714e-05,583103044.64,1000000000.0,8,0.58310304464
2023-12-16,27322.399999976158,4.685470272911027e-05,583130367.04,1000000000.0,9,0.58313036704
2023-12-17,27322.41000008583,4.685252461620581e-05,583157689.45,1000000000.0,10,0.58315768945
2023-12-18,27322.399999976158,4.685031241338504e-05,583185011.85,1000000000.0,11,0.58318501185
2023-12-19,27322.40999996662,4.684813471003531e-05,583212334.26,1000000000.0,12,0.58321233426
2023-12-20,27322.399999976158,4.6845922920333544e-05,583239656.66,1000000000.0,13,0.58323965666
2023-12-21,27322.40999996662,4.684374562662763e-05,583266979.0699999,1000000000.0,14,0.5832669790699999
2023-12-22,27322.400000095367,4.684153424992891e-05,583294301.47,1000000000.0,15,0.58329430147
2023-12-23,27322.399999976158,4.683934022316524e-05,583321623.87,1000000000.0,16,0.58332162387
2023-12-24,27322.40999996662,4.683716354370891e-05,583348946.28,1000000000.0,17,0.58334894628
2023-12-25,27322.400000095367,4.683495278599094e-05,583376268.6800001,1000000000.0,18,0.58337626868
2023-12-26,27322.40999996662,4.683277651568598e-05,583403591.09,1000000000.0,19,0.5834035910900001
2023-12-27,27322.399999976158,4.683056617027281e-05,583430913.49,1000000000.0,20,0.58343091349
2023-12-28,27322.40999996662,4.682839030941276e-05,583458235.9,1000000000.0,21,0.5834582359
2023-12-29,27322.399999976158,4.6826180376392976e-05,583485558.3,1000000000.0,22,0.5834855582999999
2023-12-30,27322.400000095367,4.682398778809917e-05,583512880.7,1000000000.0,23,0.5835128807000001
2023-12-31,27322.40999996662,4.682181254067978e-05,583540203.11,1000000000.0,24,0.58354020311
2024-01-01,27322.399999976158,4.681960322603312e-05,583567525.51,1000000000.0,25,0.58356752551
2024-01-02,27322.40999996662,4.6817428387770857e-05,583594847.92,1000000000.0,26,0.5835948479199999
2024-01-03,27322.399999976158,4.681521948522842e-05,583622170.3199999,1000000000.0,27,0.58362217032
2024-01-04,27322.41000008583,4.6813045056008214e-05,583649492.73,1000000000.0,28,0.58364949273
2024-01-05,27322.399999976158,4.681083656525015e-05,583676815.13,1000000000.0,29,0.58367681513
2024-01-06,27322.40999996662,4.6808662544548565e-05,583704137.54,1000000000.0,30,0.58370413754
2024-01-07,27322.400000095367,4.680645446607204e-05,583731459.94,1000000000.0,31,0.5837314599400001
2024-01-08,27322.399999976158,4.6804263724229007e-05,583758782.34,1000000000.0,32,0.58375878234
2024-01-09,27322.40999996662,4.6802090316396184e-05,583786104.75,1000000000.0,33,0.58378610475
2024-01-10,27322.399999976158,4.679988285530846e-05,583813427.15,1000000000.0,34,0.58381342715
2024-01-11,27322.40999996662,4.679770985591125e-05,583840749.56,1000000000.0,35,0.58384074956
2024-01-12,27322.400000095367,4.679550280661208e-05,583868071.96,1000000000.0,36,0.58386807196
2024-01-13,27322.40999996662,4.6793330215331496e-05,583895394.37,1000000000.0,37,0.58389539437
2024-01-14,27322.399999976158,4.679112357729716e-05,583922716.77,1000000000.0,38,0.58392271677
2024-01-15,27322.399999976158,4.678893427049166e-05,583950039.17,1000000000.0,39,0.58395003917
2024-01-16,27322.41000008583,4.678676229188533e-05,583977361.58,1000000000.0,40,0.58397736158
2024-01-17,27322.399999976158,4.678455627063403e-05,584004683.98,1000000000.0,41,0.58400468398
2024-01-18,27322.40999996662,4.6782384699857514e-05,584032006.39,1000000000.0,42,0.58403200639
2024-01-19,27322.399999976158,4.678017908999104e-05,584059328.79,1000000000.0,43,0.58405932879
2024-01-20,27322.41000008583,4.677800792733787e-05,584086651.2,1000000000.0,44,0.5840866512
2024-01-21,27322.399999976158,4.677580272833274e-05,584113973.6,1000000000.0,45,0.5841139736000001
2024-01-22,27322.40999996662,4.677363197328012e-05,584141296.01,1000000000.0,46,0.58414129601
2024-01-23,27322.399999976158,4.677142718542932e-05,584168618.41,1000000000.0,47,0.58416861841
2024-01-24,27322.399999976158,4.676923972133917e-05,584195940.81,1000000000.0,48,0.5841959408099999
2024-01-25,27322.41000008583,4.676706957798268e-05,584223263.22,1000000000.0,49,0.5842232632200001
2024-01-26,27322.399999976158,4.6764865406137236e-05,584250585.62,1000000000.0,50,0.58425058562
2024-01-27,27322.40999996662,4.676269567009496e-05,584277908.03,1000000000.0,51,0.58427790803
2024-01-28,27322.400000095367,4.6760491909319985e-05,584305230.4300001,1000000000.0,52,0.58430523043
2024-01-29,27322.40999996662,4.6758322580477475e-05,584332552.84,1000000000.0,53,0.5843325528400001
2024-01-30,27322.399999976158,4.675611923004585e-05,584359875.24,1000000000.0,54,0.58435987524
2024-01-31,27322.399999976158,4.675393319757079e-05,584387197.64,1000000000.0,55,0.58438719764
2024-02-01,27322.40999996662,4.675176447982339e-05,584414520.05,1000000000.0,56,0.5844145200499999
2024-02-02,27322.400000095367,4.674956174520109e-05,584441842.45,1000000000.0,57,0.5844418424500001
2024-02-03,27322.40999996662,4.67473934343675e-05,584469164.86,1000000000.0,58,0.58446916486
2024-02-04,27322.399999976158,4.674519110980116e-05,584496487.26,1000000000.0,59,0.58449648726
2024-02-05,27322.40999996662,4.674302320617499e-05,584523809.67,1000000000.0,60,0.58452380967
2024-02-06,27322.399999976158,4.674082129175366e-05,584551132.0699999,1000000000.0,61,0.58455113207
2024-02-07,27322.41000008583,4.673865379522058e-05,584578454.48,1000000000.0,62,0.58457845448
2024-02-08,27322.399999976158,4.673645229062547e-05,584605776.88,1000000000.0,63,0.58460577688
2024-02-09,27322.399999976158,4.673426809673423e-05,584633099.28,1000000000.0,64,0.58463309928
2024-02-10,27322.41000008583,4.673210121032065e-05,584660421.69,1000000000.0,65,0.5846604216900001
2024-02-11,27322.399999976158,4.672990032055549e-05,584687744.09,1000000000.0,66,0.58468774409
2024-02-12,27322.40999996662,4.6727733840541666e-05,584715066.5,1000000000.0,67,0.5847150665
2024-02-13,27322.399999976158,4.672553336072359e-05,584742388.9,1000000000.0,68,0.5847423889
2024-02-14,27322.40999996662,4.6723367287199284e-05,584769711.31,1000000000.0,69,0.58476971131
2024-02-15,27322.400000095367,4.672116721721353e-05,584797033.71,1000000000.0,70,0.58479703371
2024-02-16,27322.399999976158,4.671898445152491e-05,584824356.11,1000000000.0,71,0.58482435611
2024-02-17,27322.40999996662,4.6716818987520926e-05,584851678.52,1000000000.0,72,0.58485167852
2024-02-18,27322.399999976158,4.671461953155902e-05,584879000.92,1000000000.0,73,0.58487900092
